theta_z_deg,open_step,align_deg,tilt_deg,cost,t_flight,release_x,release_y,release_z,vel_x,vel_y,vel_z,land_x,land_y,land_z
-5.0,0.039285714285714285,44.950704973809394,90,0.9846932590659481,0.12115650656307651,0.30284433466597593,0.30459019798208736,0.072,0.0,0.0,0.0,0.30284433466597593,0.30459019798208736,0.0
25.0,0.03514285714285714,44.950704973809394,60,0.9947613607054623,0.12115650656307651,0.3197192594782418,0.2742119601235142,0.072,0.0,0.0,0.0,0.3197192594782418,0.2742119601235142,0.0
25.0,0.03514285714285714,44.950704973809394,90,1.0255449518419817,0.12115650656307651,0.28862568304503433,0.26129232478237463,0.072,0.0,0.0,0.0,0.28862568304503433,0.26129232478237463,0.0
-5.0,0.039285714285714285,44.950704973809394,75,1.0266714210495935,0.12115650656307651,0.247974077995506,0.30106422367052765,0.072,0.0,0.0,0.0,0.247974077995506,0.30106422367052765,0.0
25.0,0.03514285714285714,44.950704973809394,75,1.032530650863172,0.12115650656307651,0.286317383043545,0.25382531051628976,0.072,0.0,0.0,0.0,0.286317383043545,0.25382531051628976,0.0
35.0,0.039285714285714285,44.950704973809394,60,1.0652741838904396,0.12115650656307651,0.5422858580690707,0.03807128583253373,0.072,0.0,0.0,0.0,0.5422858580690707,0.03807128583253373,0.0
35.0,0.039285714285714285,44.950704973809394,75,1.0677301448867427,0.12115650656307651,0.5446837293240016,0.034218059830499026,0.072,0.0,0.0,0.0,0.5446837293240016,0.034218059830499026,0.0
35.0,0.039285714285714285,44.950704973809394,90,1.0703749028675853,0.12115650656307651,0.5461562952842169,0.03060414464541599,0.072,0.0,0.0,0.0,0.5461562952842169,0.03060414464541599,0.0
15.0,0.03514285714285714,44.950704973809394,90,1.1213019830095439,0.12115650656307651,0.33980155147049856,0.09365782087537446,0.072,0.0,0.0,0.0,0.33980155147049856,0.09365782087537446,0.0
15.0,0.03514285714285714,44.950704973809394,75,1.134393822808452,0.12115650656307651,0.27182740350680495,0.13016437475674042,0.072,0.0,0.0,0.0,0.27182740350680495,0.13016437475674042,0.0
5.0,0.031,44.950704973809394,90,1.1348153778516623,0.12115650656307651,0.3415219734920588,0.07576375833079435,0.072,0.0,0.0,0.0,0.3415219734920588,0.07576375833079435,0.0
15.0,0.03514285714285714,44.950704973809394,60,1.1449478643497122,0.12115650656307651,0.2726213873834658,0.11579076798134888,0.072,0.0,0.0,0.0,0.2726213873834658,0.11579076798134888,0.0
-5.0,0.06,44.950704973809394,60,1.1677238076028134,0.12115650656307651,0.49755509423470773,-0.05410056802608666,0.072,0.0,0.0,0.0,0.49755509423470773,-0.05410056802608666,0.0
-5.0,0.06,44.950704973809394,75,1.1677238076028134,0.12115650656307651,0.49755509423470773,-0.05410056802608666,0.072,0.0,0.0,0.0,0.49755509423470773,-0.05410056802608666,0.0
-5.0,0.06,44.950704973809394,90,1.1677238076028134,0.12115650656307651,0.49755509423470773,-0.05410056802608666,0.072,0.0,0.0,0.0,0.49755509423470773,-0.05410056802608666,0.0
35.0,0.031,44.950704973809394,75,1.168212769232004,0.12115650656307651,0.4575132284211923,-0.03461547294572662,0.072,0.0,0.0,0.0,0.4575132284211923,-0.03461547294572662,0.0
5.0,0.04757142857142857,44.950704973809394,75,1.1697531890073536,0.12115650656307651,0.2864381426625744,0.07309547474077073,0.072,0.0,0.0,0.0,0.2864381426625744,0.07309547474077073,0.0
5.0,0.04757142857142857,44.950704973809394,90,1.1697531890073536,0.12115650656307651,0.2864381426625744,0.07309547474077073,0.072,0.0,0.0,0.0,0.2864381426625744,0.07309547474077073,0.0
5.0,0.04757142857142857,44.950704973809394,60,1.170702965512752,0.12115650656307651,0.28699030430892236,0.07147288283493371,0.072,0.0,0.0,0.0,0.28699030430892236,0.07147288283493371,0.0
45.0,0.03514285714285714,44.950704973809394,90,1.1761157000681004,0.12115650656307651,0.6185985703267509,-0.11255610617616923,0.072,0.0,0.0,0.0,0.6185985703267509,-0.11255610617616923,0.0
45.0,0.06,44.950704973809394,60,1.1998957812255882,0.12115650656307651,2.1611619575625545,0.6975883697466964,0.072,0.0,0.0,0.0,2.1611619575625545,0.6975883697466964,0.0
45.0,0.039285714285714285,44.950704973809394,60,1.21077631385404,0.12115650656307651,0.5254075917029757,-0.11388568900799106,0.072,0.0,0.0,0.0,0.5254075917029757,-0.11388568900799106,0.0
-5.0,0.03514285714285714,44.950704973809394,90,1.2121539765664588,0.12115650656307651,0.42019223839011466,-0.06449059295177147,0.072,0.0,0.0,0.0,0.42019223839011466,-0.06449059295177147,0.0
25.0,0.031,44.950704973809394,90,1.2146887733918639,0.12115650656307651,0.14173234749479136,0.14043880213946996,0.072,0.0,0.0,0.0,0.14173234749479136,0.14043880213946996,0.0
15.0,0.031,44.950704973809394,75,1.216562709289326,0.12115650656307651,0.21490419381457088,0.07067260841862816,0.072,0.0,0.0,0.0,0.21490419381457088,0.07067260841862816,0.0
